GEOID,ice_income,median_inc,poverty_pct,labor_pct,owner_occ_pct,owner_occ_value,vacant_pct
29189222000,0.10479041916167664,82143,5.049894163894768,51.41638745050259,77.66312594840667,320500,3.1322505800464038
29189222100,0.4547402249598286,124760,2.2156280909990107,69.3406868889446,96.50404898281651,337100,6.462925851703407
29510102200,0.04857044436789528,66773,4.268515140459686,73.67321353949018,81.21577217962759,168300,6.0821740537043025
29510102300,-0.16469321851453175,53641,16.509877704609597,70.96057745696835,75.30573847601129,119400,0
29510103600,-0.050505050505050504,51389,17.14905933429812,72.78719397363466,78.21997105643995,141300,13.284671532846716
29510103700,-0.1056782334384858,55705,7.53669178897263,78.38082315694255,71.0829036096787,134100,12.066574202496533
29510105198,0.17374005305039789,67059,18.118466898954704,61.42514559780747,57.51903553299492,343400,15.137872819358469
29510107400,-0.48726467331118495,22305,41.530691530691534,52.40153698366955,54.312354312354316,38100,25.1864125932063
29510111300,-0.5560640732265446,19107,32.5,48.2420278004906,39.64285714285714,53400,22.380106571936057
29510119200,-0.11632653061224489,56019,19.9203187250996,60.33916849015317,56.3,303200,7.547169811320755
29510123300,-0.08285714285714285,47407,15.064758009543286,81.86274509803921,44.20946626384693,207100,17.306556408741876
29510126600,-0.4001798561151079,26250,36.54708520179372,58.70833333333333,40.21376085504342,150100,30.28213166144201
29510116100,-0.2592087312414734,38617,22.523744911804613,70.0390625,55.733868271481114,115300,19.583104772353263
29510114200,-0.027185278126306986,54882,11.79725542275343,80.86548488008341,59.76095617529881,146300,10.916542473919524
29510115300,-0.2734018264840183,42031,26.436548223350254,68.45600442722744,49.89870340356564,87000,22.85336856010568
29510115600,-0.5348837209302325,20179,29.36021034180543,43.01866947146989,43.3112582781457,77300,24.269108841141247
29510117400,0.06733298264071541,70387,10.342205323193916,71.05495151337055,50.35641547861507,231200,14.330779630464175
29510118100,-0.1689419795221843,41786,24.11604714415231,79.54309449636553,50.683682771194164,151400,28.361858190709043
29510121200,-0.6456692913385826,14786,51.582701738742756,50.79825834542816,21.35532768613464,98300,21.742957746478872
29510124200,-0.4055299539170507,33478,38.67871259175607,73.46857597454256,30.061867266591673,134300,30.187667560321717
29510124300,-0.012919896640826873,69940,10.837887067395265,76.39411563462197,58.03873347679065,178300,24.78134110787172
29510125500,-0.04056291390728477,58939,10.10921310557267,83.67995378393992,17.390086810417248,176200,26.76568657168839
29510102100,-0.17473821989528796,47421,11.773308957952468,75.91645353793692,37.267759562841526,116900,11.829197922677439
29510102400,-0.10583941605839416,46105,16.054860830980232,75.02374169040836,61.19402985074627,114100,4.6127067014795475
29510103800,0.09382151029748284,75507,3.624338624338624,75.16380655226209,79.13802221047065,162600,5.970952124798279
29510104200,-0.033752860411899316,55000,14.182534471437952,73.96265560165975,49.63887065003283,147200,11.627906976744185
29510105500,-0.26592082616179,41019,23.14990512333966,59.31623931623932,63.39251983377409,126800,28.182941903584673
29510106500,-0.3947643979057592,30507,21.854575163398692,50.99309153713298,51.08514190317195,47600,37.90637191157347
29510107500,-0.5542929292929293,18879,30.810234541577824,44.982078853046595,83.5820895522388,37700,38.69969040247678
29510108300,-0.3120567375886525,36583,24.100719424460433,64.94845360824742,53.27060931899642,63600,24.733096085409255
29510111100,-0.2956058588548602,35267,37.25067385444744,61.5234375,28.859792689579923,83100,27.228682170542633
29510111500,-0.4027777777777778,35337,32.8719723183391,60.71428571428571,57.34265734265735,64500,50.11547344110855
29510112100,0.0766250538097288,70451,13.89092687698704,69.2388727943113,50.95652173913044,589200,12.800300300300298
29510114300,0.0071315372424722665,67569,3.9378029079159935,79.74178403755869,79.61282516636419,159800,7.748538011695906
29510115500,-0.5286221871298855,21494,54.08299866131191,55.47460449625312,34.868421052631575,73700,14.742510939077752
29510123100,-0.1529032258064516,55000,16.952908587257618,75.52495697074009,54.44691495275153,164300,18.248945147679326
29510101500,-0.46132971506105835,27424,31.729598051157126,61.14534251540413,31.601588352084715,66800,17.191011235955056
29510105300,-0.4380234505862647,24494,21.360294117647058,64.26484907497566,44.917087238644555,192800,23.706070287539934
29510107600,-0.5035663338088445,24554,25.86304470854556,56.10859728506787,66.4013644115975,49900,39.46459412780656
29510108100,-0.31907308377896615,33827,35.65965583173996,57.555178268251275,72.11568689091482,67200,23.098012337217273
29510109700,-0.5342639593908629,20882,52.53521126760563,62.616822429906534,39.13250714966635,37400,48.56396866840731
29510110200,-0.4485981308411215,27051,34.57377758546084,52.21483942414174,38.12202509736045,56000,41.208791208791204
29510112200,-0.3987730061349693,30125,27.895595432300162,60.75819672131148,45.06369426751593,98900,46.26373626373626
29510110300,-0.615301724137931,14735,45.37770734284205,56.266490765171504,39.83095615425251,54800,43.06748466257669
29510101400,-0.14747307373653687,42361,21.506154960173788,64.72406181015452,71.33093525179856,125600,17.21536351165981
29510103100,-0.04072948328267477,46791,8.020134228187919,74.9231950844854,59.328859060402685,222100,11.701556629092861
29510110500,-0.5032679738562091,22356,31.56756756756757,49.25373134328358,59.89010989010989,49700,49
29510120200,-0.5217391304347826,21593,49.923896499238964,55.774925962487664,23.59208523592085,NA,30.503597122302157
29510112300,-0.49066002490660027,20552,41.82842830306826,64.42533229085224,29.101194217473285,77100,38.70229007633588
29510117200,0.023534269199009084,65607,11.419753086419753,76.62424648359008,64.52302312026423,230500,16.71251719394773
29510116400,-0.40502942750133764,28853,37.65199161425576,69.70868014268727,34.07609838133277,65900,28.98936170212766
29510125600,-0.016931582584657913,57202,12.992315081652258,73.47991922818039,12.382558419657915,222100,12.752487187217366
29510125700,-0.6400753768844221,16484,49.84835952577888,52.88584865327063,3.336090432864627,NA,14.085267134376686
29510115700,-0.4850798056904927,23209,40.99753357084133,61.82336182336182,25.565985643291,53200,21.98159177043855
29510116500,-0.17243214475784993,45340,20.437626889239795,78.10787424286126,43.62734040153395,161700,18.304347826086957
29510118400,-0.7232876712328767,11769,56.76959619952494,32.496697490092465,4.98812351543943,NA,31.132075471698112
29510124100,-0.44552058111380144,26395,42.66091051805338,62.03703703703704,24.78414442700157,48600,35.46875
29510124600,-0.4820936639118457,25192,52.50800426894343,66.12276612276612,24.440894568690098,60800,24.76683937823834
29510102500,-0.17533129459734964,47132,12.975508077123502,74.88344988344988,65.74074074074075,125200,1.998001998001998
29510110100,-0.5213389121338912,22604,38.570933055844606,50.7711546477699,46.98711250435388,56400,31.479357798165136
29510115100,-0.2978488692774407,35959,27.75585982826642,63.633945198191014,59.75864469714551,94700,7.641365257259297
29510115400,-0.2339920948616601,35801,27.8522490318737,65.11627906976744,45.67422434367542,89300,9.578270192994996
29510117100,-0.17227722772277226,41780,20.541494997057093,81.0188415910677,25.13243084167157,178800,8.76242095754291
29510119300,-0.49420289855072463,21918,40.67119456652017,44.686299615877076,4.220499569336779,377800,21.857304643261607
29510101100,-0.09771689497716896,56250,13.2890365448505,65.33142584644732,81.68604651162791,107200,9.053156146179402
29510101300,0.008161044613710556,58958,3.6762828695430176,69.40928270042194,75.23006134969326,155400,14.272388059701493
29510103400,0.03819444444444445,77174,3.569525839104955,78.419452887538,79.27350427350427,144400,10.2803738317757
29510105400,-0.40103092783505156,26731,32.81677301731996,71.875,25.046210720887245,72500,24.336973478939157
29510106400,-0.4431554524361949,27946,34.33734939759036,63.50184956843403,45.58024691358025,51700,42.876076872100725
29510101200,0.08176943699731903,68860,4.281168643332369,71.1336599020294,85.32056861038583,134900,3.555268261150614
29510101800,-0.2215815485996705,44712,15.922330097087379,70.26807473598701,33.278035832780354,87300,25.015441630636193
29510104500,0.01971608832807571,60391,12.400354295837024,77.53727753727753,37.3114463176575,144800,17.501626545217956
29510105200,-0.07659873506676036,52750,10.43956043956044,72.1185064935065,46.22124863088718,217200,13.96614268440145
29510106200,-0.6234309623430963,19900,50.30581039755352,43.22429906542056,18.153364632237874,58000,44.675925925925924
29510106700,-0.47580645161290325,23611,43.43987823439878,45.530393325387365,46.4775846294602,71700,37.18338399189463
29510107200,-0.5547785547785548,22361,45.20754716981132,56.91382765531062,27.68192048012003,66400,35.09833585476551
29510107300,-0.41700640652300525,29088,31.79293490335481,49.679576483700195,57.01037756679178,48700,23.518930957683743
29510108200,-0.5099818511796733,24354,21.901871522508852,45.8085451595457,61.001517450682854,68400,11.84
29510109600,-0.40415335463258784,26141,28.030303030303028,52.16450216450217,51.12185018985157,75800,26.65495020503808
29510111400,-0.37383177570093457,33214,25.448868071818893,51.07692307692307,31.053459119496857,50900,43.386243386243386
29510112400,0.04835258878904578,57591,16.169992225965277,69.64191679831491,38.05194805194805,398000,16.29656160458453
29510115200,-0.43853820598006643,27127,40.604026845637584,63.725892490767336,29.086538461538463,92400,15.16347237880496
29510116200,-0.08220502901353965,54101,10.390920554854981,79.38584020471993,61.84443881428934,164800,10.86206896551724
29510118600,-0.16176470588235295,43301,24.22427871529668,58.57178402587708,40.67988668555241,191000,10.667367314766159
29510123200,-0.01443298969072165,67708,11.615384615384615,72.7233676975945,46.84615384615385,296300,9.627329192546584
29510106300,-0.41398865784499056,28125,23.88059701492537,55.78231292517006,57.285003553660275,51100,51.28913443830571
29510106600,-0.47254575707154745,22188,29.832474226804123,50.546875,61.5979381443299,55800,32.090395480225986
29510111200,-0.45454545454545453,26705,46.75925925925926,60.905840286054826,64.92890995260665,55700,53.59374999999999
29510110400,-0.517814726840855,22389,33.95225464190981,48.660170523751525,50.02669514148425,58700,39.59827833572454
29510121100,-0.6052123552123552,17465,40.42944785276074,48.98336414048059,9.811565951916828,NA,13.014273719563393
29510113500,-0.10636442894507411,60098,12.728026533996683,72.65917602996255,69.56340956340956,168500,13.88888888888889
29510126700,-0.42424242424242425,27206,32.7027027027027,60.78431372549019,51.711711711711715,63200,52.90519877675841
29510106100,-0.540386803185438,19568,35.2017937219731,48.7250172294969,43.39516582349635,67300,34.646840148698885
29510114101,-0.1111111111111111,48438,15.95462225440502,79.64224872231686,43.073593073593074,170900,11.242603550295858
29510114102,0.17275747508305647,66250,3.8063063063063063,76.72437482824952,64.54954954954954,275900,5.345911949685535
29510116301,0.08315256688358641,69861,13.608783588558222,76.8579838116262,63.3810888252149,209900,12.301838934686113
29510116302,-0.3357664233576642,31818,26.893698281349458,64.19161676646706,18.555060471037553,79400,14.481897627965044
29510119101,-0.25836533187054306,40407,25.563063063063062,55.80424886191199,38.0377358490566,283000,9.483614697120158
29510119102,-0.015783540022547914,56829,23.094388582549467,64.07766990291263,28.274923443348076,262100,13.251833740831295
29510126800,-0.04139433551198257,54688,11.448863636363637,78.06204029421171,69.26136363636364,129300,4.968944099378882
29510126900,-0.3947858472998138,30379,31.259884027411704,57.06196917269581,56.184137548530224,54600,31.563296516567547
29510127000,-0.5034246575342466,23235,44.027303754266214,37.34939759036144,38.6518771331058,63900,33.7116912599319
29510127100,-0.6159420289855072,18173,53.06603773584906,39.842067480258436,25.235849056603776,74200,37.08206686930091
29510127200,-0.05777563793933558,43885,14.041018706333109,70.07526602647289,55.61904761904762,157000,11.352966282543747
29510127300,-0.1628056628056628,46404,21.004810261892036,65.08232370301336,54.31197620978643,215600,16.451612903225808
29510127400,-0.3935897435897436,28250,31.453206394826655,70.50924752976945,21.178372552541763,197700,2.7835479850436227
29510127500,-0.38311688311688313,30115,22.985781990521325,69.19763058696823,9.278846153846153,180100,15.898058252427186
29510127600,-0.07594202898550724,62978,12.51360174102285,74.78862413528056,31.931236283833208,206700,22.227231740306582
29189212400,-0.29633300297324083,41431,23.39300244100895,61.38515196811161,48.073022312373226,65500,13.316151202749142
29189213500,-0.22486379395740466,47201,9.82469659025236,64.96598639455783,53.90970220941402,75400,9.583519928347513
